1,7,太郎,田中,,2023-07-14 22:55:23,,
2,87,太郎,田中,,2023-07-14 22:55:23,,
3,24,太郎,田中,,2023-07-14 22:55:23,,
4,7,太郎,田中,,2023-07-14 22:55:23,,
5,22,太郎,田中,,2023-07-14 22:55:23,,
6,5,太郎,田中,,2023-07-14 22:55:23,,
7,43,太郎,田中,,2023-07-14 22:55:23,,
8,97,太郎,田中,,2023-07-14 22:55:23,,
9,59,太郎,田中,,2023-07-14 22:55:23,,
10,69,太郎,田中,,2023-07-14 22:55:23,,
11,75,太郎,田中,,2023-07-14 22:55:23,,
12,13,太郎,田中,,2023-07-14 22:55:23,,
13,86,太郎,田中,,2023-07-14 22:55:23,,
14,59,太郎,田中,,2023-07-14 22:55:23,,
15,74,太郎,田中,,2023-07-14 22:55:23,,
16,80,太郎,田中,,2023-07-14 22:55:23,,
17,28,太郎,田中,,2023-07-14 22:55:23,,
18,74,太郎,田中,,2023-07-14 22:55:23,,
19,12,太郎,田中,,2023-07-14 22:55:23,,
20,95,太郎,田中,,2023-07-14 22:55:23,,
21,91,太郎,田中,,2023-07-14 22:55:23,,
22,75,太郎,田中,,2023-07-14 22:55:23,,
23,65,太郎,田中,,2023-07-14 22:55:23,,
24,98,太郎,田中,,2023-07-14 22:55:23,,
25,63,太郎,田中,,2023-07-14 22:55:23,,
26,58,太郎,田中,,2023-07-14 22:55:23,,
27,49,太郎,田中,,2023-07-14 22:55:23,,
28,93,太郎,田中,,2023-07-14 22:55:23,,
29,50,太郎,田中,,2023-07-14 22:55:23,,
30,44,太郎,田中,,2023-07-14 22:55:23,,
31,4,太郎,田中,,2023-07-14 22:55:23,,
32,77,太郎,田中,,2023-07-14 22:55:23,,
33,98,太郎,田中,,2023-07-14 22:55:23,,
34,63,太郎,田中,,2023-07-14 22:55:23,,
35,99,太郎,田中,,2023-07-14 22:55:23,,
36,31,太郎,田中,,2023-07-14 22:55:23,,
37,30,太郎,田中,,2023-07-14 22:55:23,,
38,94,太郎,田中,,2023-07-14 22:55:23,,
39,61,太郎,田中,,2023-07-14 22:55:23,,
40,70,太郎,田中,,2023-07-14 22:55:23,,
41,49,太郎,田中,,2023-07-14 22:55:23,,
42,66,太郎,田中,,2023-07-14 22:55:23,,
43,42,太郎,田中,,2023-07-14 22:55:23,,
44,93,太郎,田中,,2023-07-14 22:55:23,,
45,73,太郎,田中,,2023-07-14 22:55:23,,
46,13,太郎,田中,,2023-07-14 22:55:23,,
47,5,太郎,田中,,2023-07-14 22:55:23,,
48,32,太郎,田中,,2023-07-14 22:55:23,,
49,4,太郎,田中,,2023-07-14 22:55:23,,
50,77,太郎,田中,,2023-07-14 22:55:23,,
51,25,太郎,田中,,2023-07-14 22:55:23,,
52,90,太郎,田中,,2023-07-14 22:55:23,,
53,96,太郎,田中,,2023-07-14 22:55:23,,
54,41,太郎,田中,,2023-07-14 22:55:23,,
55,44,太郎,田中,,2023-07-14 22:55:23,,
56,30,太郎,田中,,2023-07-14 22:55:23,,
57,57,太郎,田中,,2023-07-14 22:55:23,,
58,48,太郎,田中,,2023-07-14 22:55:23,,
59,38,太郎,田中,,2023-07-14 22:55:23,,
60,29,太郎,田中,,2023-07-14 22:55:23,,
61,82,太郎,田中,,2023-07-14 22:55:23,,
62,34,太郎,田中,,2023-07-14 22:55:23,,
63,5,太郎,田中,,2023-07-14 22:55:23,,
64,65,太郎,田中,,2023-07-14 22:55:23,,
65,60,太郎,田中,,2023-07-14 22:55:23,,
66,52,太郎,田中,,2023-07-14 22:55:23,,
67,95,太郎,田中,,2023-07-14 22:55:23,,
68,47,太郎,田中,,2023-07-14 22:55:23,,
69,73,太郎,田中,,2023-07-14 22:55:23,,
70,30,太郎,田中,,2023-07-14 22:55:23,,
71,26,太郎,田中,,2023-07-14 22:55:23,,
72,27,太郎,田中,,2023-07-14 22:55:23,,
73,57,太郎,田中,,2023-07-14 22:55:23,,
74,25,太郎,田中,,2023-07-14 22:55:23,,
75,8,太郎,田中,,2023-07-14 22:55:23,,
76,68,太郎,田中,,2023-07-14 22:55:23,,
77,41,太郎,田中,,2023-07-14 22:55:23,,
78,76,太郎,田中,,2023-07-14 22:55:23,,
79,35,太郎,田中,,2023-07-14 22:55:23,,
80,16,太郎,田中,,2023-07-14 22:55:23,,
81,44,太郎,田中,,2023-07-14 22:55:23,,
82,91,太郎,田中,,2023-07-14 22:55:23,,
